날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2024-06-05,09:30,지출,카페,,스타벅스,-5500,KRW,신용카드,아메리카노
2024-06-10,12:15,지출,식비,,맥도날드,-8900,KRW,체크카드,점심
2024-06-15,18:30,지출,쇼핑,,쿠팡,-45000,KRW,신용카드,생필품
2024-06-20,14:00,지출,교통,,카카오택시,-12500,KRW,체크카드,
2024-06-25,20:00,지출,여가,,CGV,-15000,KRW,신용카드,영화관람
2024-07-02,10:00,지출,카페,,이디야,-4500,KRW,체크카드,라떼
2024-07-08,13:00,지출,식비,,김밥천국,-6500,KRW,신용카드,점심
2024-07-12,16:30,지출,쇼핑,,네이버쇼핑,-78000,KRW,신용카드,의류
2024-07-18,11:00,지출,공과금,,한전,-55000,KRW,자동이체,전기세
2024-07-22,19:00,지출,식비,,배달의민족,-28000,KRW,신용카드,저녁
2024-07-28,09:00,지출,교통,,지하철,-1500,KRW,체크카드,
2024-08-03,14:30,지출,카페,,투썸플레이스,-7000,KRW,신용카드,케이크
2024-08-09,12:00,지출,식비,,편의점,-8500,KRW,체크카드,점심
2024-08-15,17:00,지출,쇼핑,,올리브영,-32000,KRW,신용카드,화장품
2024-08-20,20:30,지출,여가,,넷플릭스,-17000,KRW,자동이체,구독
2024-08-25,11:30,지출,식비,,피자헛,-25000,KRW,신용카드,
2024-08-30,15:00,지출,공과금,,도시가스,-38000,KRW,자동이체,가스비
2024-09-05,10:00,지출,카페,,메가커피,-3500,KRW,체크카드,아이스아메리카노
2024-09-10,13:30,지출,쇼핑,,다이소,-15000,KRW,체크카드,생활용품
2024-09-15,18:00,지출,식비,,족발보쌈,-38000,KRW,신용카드,저녁
2024-09-20,12:00,지출,교통,,KTX,-52000,KRW,신용카드,
2024-09-25,19:30,지출,여가,,스팀,-65000,KRW,신용카드,게임
2024-09-28,16:00,지출,식비,,서브웨이,-9500,KRW,체크카드,
2024-10-03,11:00,지출,카페,,할리스,-6000,KRW,신용카드,
2024-10-08,14:00,지출,쇼핑,,무신사,-95000,KRW,신용카드,신발
2024-10-12,12:30,지출,식비,,국밥집,-8000,KRW,체크카드,
2024-10-18,20:00,지출,공과금,,통신비,-55000,KRW,자동이체,휴대폰
2024-10-22,17:30,지출,쇼핑,,11번가,-42000,KRW,신용카드,
2024-10-28,10:00,지출,교통,,버스,-1400,KRW,체크카드,
2024-10-30,19:00,지출,여가,,왓챠,-9900,KRW,자동이체,구독
2024-11-02,09:30,지출,카페,,스타벅스,-6500,KRW,신용카드,돌체라떼
2024-11-07,13:00,지출,식비,,한솥도시락,-7000,KRW,체크카드,
2024-11-12,16:00,지출,쇼핑,,쿠팡,-68000,KRW,신용카드,전자제품
2024-11-18,11:30,지출,식비,,맛집,-45000,KRW,신용카드,회식
2024-11-22,18:00,지출,교통,,카카오택시,-18000,KRW,체크카드,
2024-11-25,20:30,지출,여가,,노래방,-25000,KRW,신용카드,
2024-11-28,14:00,지출,공과금,,수도세,-22000,KRW,자동이체,
2024-11-30,12:00,지출,식비,,치킨,-21000,KRW,신용카드,
